year,state_name,population,violent_crime,property_crime,crime_rate
2018,Virginia,8501286,17357,142931,1.6812868076665106
2018,Vermont,624358,1155,8211,1.3151108818978856
2018,Washington,7523869,23719,223256,2.9673031255594693
2018,Wisconsin,5807406,17365,91238,1.5710628807422797
2018,West Virginia,1804291,5411,27888,1.54564867862224
2018,Wyoming,577601,1235,10308,1.7846229490599912
2019,Alaska,733603,6346,21293,2.9025235720137457
2019,Alabama,4907965,24769,128726,2.622797839837896
2019,Arkansas,3020985,17547,86029,2.8477135768631756
2019,Arizona,7291843,32603,177628,2.4359822338467794
2019,California,39437610,174341,921177,2.3357830253912444
2019,Colorado,5758486,22149,150564,2.6146455856626205
2019,Connecticut,3566022,6583,51076,1.4322962673814126
2019,District of Columbia,708253,7403,30819,4.35141114827611
2019,Delaware,976668,4128,21932,2.245594203966957
2019,Florida,21492056,81291,460966,2.144820393172249
2019,Georgia,10628020,34666,294817,2.7739597780207412
2019,Hawaii,1415615,3745,40617,2.8692123211466396
2019,Iowa,3159596,9086,58446,1.8497934546062218
2019,Idaho,1789060,4162,22244,1.243334488502342
2019,Illinois,12667017,52601,235033,1.8554723657511472
2019,Indiana,6731010,25006,131097,1.9476571866629229
2019,Kansas,2912635,11811,66306,2.2764953384134983
2019,Kentucky,4472345,9872,85387,1.9092221194921233
2019,Louisiana,4658285,26072,148429,3.1863443305851833
2019,Massachusetts,6894883,22662,81399,1.1805711568999793
2019,Maryland,6054954,27511,118091,1.9503203492545114
2019,Maine,1345770,1562,16791,1.2476871976637909
2019,Michigan,9984795,43793,158317,1.5855808757215346
2019,Minnesota,5640053,13395,117971,2.091664741448352
2019,Missouri,6140475,30680,163223,2.6581494102654926
2019,Mississippi,2978227,7779,69727,2.341225165173776
2019,Montana,1070123,4472,23929,2.2360980933967403
2019,North Carolina,10501384,39773,251135,2.3914466893125708
2019,North Dakota,763724,2302,15270,1.9994134006525919
2019,Nebraska,1932571,5887,39553,2.046651843580391
2019,New Hampshire,1360783,2152,16552,1.2163585229974214
2019,New Jersey,8891258,18382,118637,1.3343106228612418
2019,New Mexico,2099634,17302,66744,3.1788397406405116
2019,Nevada,3090771,15334,72028,2.330421762078135
2019,New York,19463131,70260,269787,1.386143884044145
2019,Ohio,11696507,34618,240540,2.056511401224314
2019,Oklahoma,3960676,17279,113504,2.865773418477048
2019,Oregon,4216116,12382,117567,2.78851435776435
2019,Pennsylvania,12798883,39160,179670,1.4037943779937672
2019,Rhode Island,1058158,2357,16312,1.541546725536262
2019,South Carolina,5157702,26307,151970,2.9464672445209126
2019,South Dakota,887127,3523,15686,1.7681797532934969
2019,Tennessee,6830325,40908,181801,2.6616742248721694
2019,Texas,28986794,122263,697305,2.405595458400815
2019,Utah,3203383,7588,69469,2.1686136187898857
2019,Virginia,8556642,17916,140944,1.64718823108411
2019,Vermont,624046,1293,8968,1.4370735490652933
2019,Washington,7614024,23095,207539,2.7257465960180847
2019,Wisconsin,5824581,17305,85796,1.472998658615959
2019,West Virginia,1795263,5725,27327,1.5221725173414704
2019,Wyoming,580116,1247,9097,1.5681346489322825
2020,Alaska,731158,6126,16528,2.2605237171719383
2020,Alabama,4921532,22322,105161,2.1367533524114037
2020,Arkansas,3030522,20363,79200,2.6134111549099464
2020,Arizona,7421401,35980,165323,2.2276521643285414
2020,California,39368078,174026,842054,2.1389258576453747
2020,Colorado,5807719,24570,164582,2.833849227209512
2020,Connecticut,3557006,6459,55670,1.5650802950571352
2020,District of Columbia,712816,7127,24899,3.493047294112366
2020,Delaware,986809,4262,19355,1.9613724641749315
2020,Florida,21733312,83368,384556,1.7694311847177273
2020,Georgia,10710017,42850,214988,2.0073544234336884
2020,Hawaii,1407006,3576,33928,2.411361429873078
2020,Iowa,3163561,9601,53725,1.6982444782951869
2020,Idaho,1826913,4432,20313,1.1118756065559772
2020,Illinois,12587530,53612,196287,1.5593766211480726
2020,Indiana,6754953,24161,120453,1.783180430715062
2020,Kansas,2913805,12385,64077,2.1990833291864074
2020,Kentucky,4477251,11600,79673,1.7795071127350242
2020,Louisiana,4645318,29704,133989,2.8843881086289462
2020,Massachusetts,6893574,21288,72602,1.053183733140458
2020,Maryland,6055802,24215,97487,1.6098115493208
2020,Maine,1350141,1466,15610,1.1561755401843214
2020,Michigan,9966555,47641,135633,1.36088146806996
2020,Minnesota,5657342,15698,120212,2.1248847957220898
2020,Missouri,6151548,33385,155698,2.5310377160350535
2020,Mississippi,2966786,8638,62351,2.101634563463627
2020,Montana,1080577,5077,22917,2.120811381326828
2020,North Carolina,10600823,44451,236026,2.2264875095075167
2020,North Dakota,765309,2518,16256,2.12410934668219
2020,Nebraska,1937552,6473,36991,1.9091616637901847
2020,New Hampshire,1366275,2000,15014,1.0989002945966222
2020,New Jersey,8882371,17353,102875,1.1581930095016297
2020,New Mexico,2106319,16393,59859,2.8418772275234665
2020,Nevada,3138259,14445,60462,1.9266096265477133
2020,New York,19336776,70339,272788,1.4107212081269391
2020,Ohio,11693217,36104,216363,1.8503291267065343
2020,Oklahoma,3980783,18255,107705,2.7056234916598068
2020,Oregon,4241507,12380,112782,2.6590077536121006
2020,Pennsylvania,12783254,49793,210167,1.644080607332061
2020,Rhode Island,1057125,2440,13166,1.2454534704978124
2020,South Carolina,5218040,27691,141987,2.721079179155392
